gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Baiap2l1,Q9DBJ3,BI2L1_MOUSE,reviewed,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 (BAI1-associated protein 2-like protein 1) (Insulin receptor tyrosine kinase substrate),Baiap2l1 Irtks,Mus musculus (Mouse),514
Rnf6,Q9DBU5,RNF6_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF6 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RNF6) (RLIM-like protein),Rnf6,Mus musculus (Mouse),667
Cdx2,P43241,CDX2_MOUSE,reviewed,Homeobox protein CDX-2 (Caudal-type homeobox protein 2),Cdx2 Cdx-2,Mus musculus (Mouse),311
Sdhaf3,Q8BQU3,SDHF3_MOUSE,reviewed,"Succinate dehydrogenase assembly factor 3, mitochondrial (SDH assembly factor 3) (SDHAF3)",Sdhaf3 Acn9,Mus musculus (Mouse),125
C1galt1,Q9JJ06,C1GLT_MOUSE,reviewed,"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (Core 1 O-glycan T-synthase) (T-syn) (Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1) (Core 1 beta1,3-galactosyltransferase 1) (C1GalT1) (Core 1 beta3-Gal-T1)",C1galt1 Plt1,Mus musculus (Mouse),363
Tes,P47226,TES_MOUSE,reviewed,Testin (TES1/TES2),Tes,Mus musculus (Mouse),423
Met,P16056,MET_MOUSE,reviewed,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met),Met,Mus musculus (Mouse),1379
Met,Q8CH25,SLTM_MOUSE,reviewed,SAFB-like transcription modulator (Modulator of estrogen-induced transcription) (SAF-like transcription modulator),Sltm Met,Mus musculus (Mouse),1031
Capza2,P47754,CAZA2_MOUSE,reviewed,F-actin-capping protein subunit alpha-2 (CapZ alpha-2),Capza2 Cappa2,Mus musculus (Mouse),286
Cftr,P26361,CFTR_MOUSE,reviewed,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel),Cftr Abcc7,Mus musculus (Mouse),1476
Ahcyl2,Q68FL4,SAHH3_MOUSE,reviewed,Putative adenosylhomocysteinase 3 (AdoHcyase 3) (EC 3.3.1.1) (Long-IRBIT) (S-adenosyl-L-homocysteine hydrolase 3) (S-adenosylhomocysteine hydrolase-like protein 2),Ahcyl2,Mus musculus (Mouse),613
Mkln1,O89050,MKLN1_MOUSE,reviewed,Muskelin,Mkln1,Mus musculus (Mouse),735
Aoc1,Q8JZQ5,AOC1_MOUSE,reviewed,Amiloride-sensitive amine oxidase [copper-containing] (DAO) (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase),Aoc1 Abp1,Mus musculus (Mouse),751
Tax1bp1,Q3UKC1,TAXB1_MOUSE,reviewed,Tax1-binding protein 1 homolog,Tax1bp1,Mus musculus (Mouse),814
Plekha8,Q80W71,PKHA8_MOUSE,reviewed,Pleckstrin homology domain-containing family A member 8 (PH domain-containing family A member 8) (Phosphatidylinositol-four-phosphate adapter protein 2) (FAPP-2) (Phosphoinositol 4-phosphate adapter protein 2),Plekha8 Fapp2,Mus musculus (Mouse),519
Znrf2,Q71FD5,ZNRF2_MOUSE,reviewed,E3 ubiquitin-protein ligase ZNRF2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZNRF2) (Zinc/RING finger protein 2),Znrf2,Mus musculus (Mouse),238
Gars,Q9CZD3,GARS_MOUSE,reviewed,Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase 1) (GlyRS),Gars1 Gars,Mus musculus (Mouse),729
Abcg2,Q7TMS5,ABCG2_MOUSE,reviewed,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein 1 homolog) (Urate exporter) (CD antigen CD338),Abcg2 Abcp Bcrp1,Mus musculus (Mouse),657
Atoh1,P48985,ATOH1_MOUSE,reviewed,Protein atonal homolog 1 (Helix-loop-helix protein mATH-1) (mATH1),Atoh1 Ath1,Mus musculus (Mouse),351
Gng12,Q9DAS9,GBG12_MOUSE,reviewed,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,Gng12,Mus musculus (Mouse),72
Suclg1,Q9WUM5,SUCA_MOUSE,reviewed,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)",Suclg1,Mus musculus (Mouse),346
Reg3b,P35230,REG3B_MOUSE,reviewed,Regenerating islet-derived protein 3-beta (REG-3-beta) (Pancreatitis-associated protein 1) (Regenerating islet-derived protein III-beta) (Reg III-beta) [Cleaved into: Regenerating islet-derived protein 3-beta 16.5 kDa form; Regenerating islet-derived protein 3-beta 15 kDa form],Reg3b Pap Pap1,Mus musculus (Mouse),175
Mob1a,Q921Y0,MOB1A_MOUSE,reviewed,MOB kinase activator 1A (Mob1 homolog 1B) (Mps one binder kinase activator-like 1B),Mob1a Mobk1b Mobkl1b,Mus musculus (Mouse),216
Aak1,Q3UHJ0,AAK1_MOUSE,reviewed,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),Aak1 Kiaa1048,Mus musculus (Mouse),959
Gfpt1,P47856,GFPT1_MOUSE,reviewed,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1),Gfpt1 Gfpt,Mus musculus (Mouse),697
Copg1,Q9QZE5,COPG1_MOUSE,reviewed,Coatomer subunit gamma-1 (Gamma-1-coat protein) (Gamma-1-COP),Copg1 Copg,Mus musculus (Mouse),874
Aldh1l1,Q8R0Y6,AL1L1_MOUSE,reviewed,Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1),Aldh1l1 Fthfd,Mus musculus (Mouse),902
Tmem43,Q9DBS1,TMM43_MOUSE,reviewed,Transmembrane protein 43 (Protein LUMA),Tmem43,Mus musculus (Mouse),400
Slc6a6,O35316,SC6A6_MOUSE,reviewed,Sodium- and chloride-dependent taurine transporter (Solute carrier family 6 member 6),Slc6a6 Taut,Mus musculus (Mouse),621
Edem1,Q925U4,EDEM1_MOUSE,reviewed,ER degradation-enhancing alpha-mannosidase-like protein 1,Edem1 Edem,Mus musculus (Mouse),652
Setd5,Q5XJV7,SETD5_MOUSE,reviewed,Histone-lysine N-methyltransferase SETD5 (EC 2.1.1.-) (SET domain-containing protein 5),Setd5 Kiaa1757,Mus musculus (Mouse),1441
Mtmr14,Q8VEL2,MTMRE_MOUSE,reviewed,Myotubularin-related protein 14 (EC 3.1.3.-) (mJumpy),Mtmr14,Mus musculus (Mouse),648
Il17rc,Q8K4C2,I17RC_MOUSE,reviewed,Interleukin-17 receptor C (IL-17 receptor C) (IL-17RC) (Interleukin-17 receptor-like protein) (IL-17RL) (ZcytoR14),Il17rc,Mus musculus (Mouse),698
Creld1,Q91XD7,CREL1_MOUSE,reviewed,Protein disulfide isomerase Creld1 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 1),Creld1,Mus musculus (Mouse),420
Irak2,Q8CFA1,IRAK2_MOUSE,reviewed,Interleukin-1 receptor-associated kinase-like 2 (IRAK-2) (mu-IRAK-2),Irak2,Mus musculus (Mouse),622
Kdm5a,Q3UXZ9,KDM5A_MOUSE,reviewed,Lysine-specific demethylase 5A (EC 1.14.11.-) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2),Kdm5a Jarid1a Rbp2,Mus musculus (Mouse),1690
Mlf2,Q99KX1,MLF2_MOUSE,reviewed,Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2),Mlf2,Mus musculus (Mouse),247
Ing4,Q8C0D7,ING4_MOUSE,reviewed,Inhibitor of growth protein 4 (p29ING4),Ing4,Mus musculus (Mouse),249
Chd4,Q6PDQ2,CHD4_MOUSE,reviewed,Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12),Chd4,Mus musculus (Mouse),1915
Clec2h,Q8C1T8,CLC2H_MOUSE,reviewed,C-type lectin domain family 2 member H (C-type lectin-related protein F) (Clr-f),Clec2h Clrf,Mus musculus (Mouse),218
Crebl2,Q32M00,CRBL2_MOUSE,reviewed,cAMP-responsive element-binding protein-like 2,Crebl2,Mus musculus (Mouse),123
Cdkn1b,P46414,CDN1B_MOUSE,reviewed,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Cdkn1b,Mus musculus (Mouse),197
Ddx47,Q9CWX9,DDX47_MOUSE,reviewed,Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47),Ddx47,Mus musculus (Mouse),455
Gprc5a,Q8BHL4,RAI3_MOUSE,reviewed,Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Retinoic acid-induced gene 1 protein) (RAIG-1),Gprc5a Rai3 Raig1,Mus musculus (Mouse),356
Emp1,P47801,EMP1_MOUSE,reviewed,Epithelial membrane protein 1 (EMP-1) (Tumor-associated membrane protein),Emp1 Tmp,Mus musculus (Mouse),160
Atf7ip,Q7TT18,MCAF1_MOUSE,reviewed,Activating transcription factor 7-interacting protein 1 (ATFa-associated modulator) (mAM) (MBD1-containing chromatin-associated factor 1),Atf7ip Mcaf1,Mus musculus (Mouse),1306
Dera,Q91YP3,DEOC_MOUSE,reviewed,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),Dera,Mus musculus (Mouse),318
Mgst1,Q91VS7,MGST1_MOUSE,reviewed,Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I),Mgst1,Mus musculus (Mouse),155
Pde3a,Q9Z0X4,PDE3A_MOUSE,reviewed,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A (EC 3.1.4.17) (Cyclic GMP-inhibited phosphodiesterase A) (CGI-PDE A)",Pde3a,Mus musculus (Mouse),1141
Golt1b,Q9CR60,GOT1B_MOUSE,reviewed,Vesicle transport protein GOT1B (Golgi transport 1 homolog B),Golt1b,Mus musculus (Mouse),138
Cmas,Q99KK2,NEUA_MOUSE,reviewed,N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) (CMP-N-acetylneuraminic acid synthase) (CMP-NeuNAc synthase),Cmas,Mus musculus (Mouse),432
Etnk1,Q9D4V0,EKI1_MOUSE,reviewed,Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82),Etnk1 Eki1,Mus musculus (Mouse),363
Samd9l,Q69Z37,SAM9L_MOUSE,reviewed,Sterile alpha motif domain-containing protein 9-like (SAM domain-containing protein 9-like),Samd9l Kiaa2005,Mus musculus (Mouse),1561
Pon2,Q62086,PON2_MOUSE,reviewed,Serum paraoxonase/arylesterase 2 (PON 2) (EC 3.1.1.2) (EC 3.1.1.81) (Aromatic esterase 2) (A-esterase 2) (Serum aryldialkylphosphatase 2),Pon2,Mus musculus (Mouse),354
Slc25a13,Q9QXX4,CMC2_MOUSE,reviewed,Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13),Slc25a13 Aralar2,Mus musculus (Mouse),676
Ndufa4,Q62425,NDUA4_MOUSE,reviewed,Cytochrome c oxidase subunit NDUFA4,Ndufa4,Mus musculus (Mouse),82
Wasl,Q91YD9,WASL_MOUSE,reviewed,Neural Wiskott-Aldrich syndrome protein (N-WASP),Wasl,Mus musculus (Mouse),501
Copg2,Q9QXK3,COPG2_MOUSE,reviewed,Coatomer subunit gamma-2 (Gamma-2-coat protein) (Gamma-2-COP),Copg2,Mus musculus (Mouse),871
Slc35b4,Q8CIA5,S35B4_MOUSE,reviewed,UDP-xylose and UDP-N-acetylglucosamine transporter (Solute carrier family 35 member B4),Slc35b4 MNCb-4414,Mus musculus (Mouse),331
Mtpn,P62774,MTPN_MOUSE,reviewed,Myotrophin (Granule cell differentiation protein) (Protein V-1),Mtpn Gcdp,Mus musculus (Mouse),118
Zc3hav1,Q3UPF5,ZCCHV_MOUSE,reviewed,Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Inactive Poly [ADP-ribose] polymerase 13) (PARP13),Zc3hav1,Mus musculus (Mouse),946
Hipk2,Q9QZR5,HIPK2_MOUSE,reviewed,Homeodomain-interacting protein kinase 2 (EC 2.7.11.1) (Nuclear body-associated kinase 1) (Sialophorin tail-associated nuclear serine/threonine-protein kinase),Hipk2 Nbak1 Stank,Mus musculus (Mouse),1196
Parp12,Q8BZ20,PAR12_MOUSE,reviewed,Protein mono-ADP-ribosyltransferase PARP12 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 12) (ARTD12) (Poly [ADP-ribose] polymerase 12) (PARP-12) (Zinc finger CCCH domain-containing protein 1),Parp12 Zc3hdc1,Mus musculus (Mouse),711
Kdm7a,Q3UWM4,KDM7A_MOUSE,reviewed,Lysine-specific demethylase 7A (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 1D) (Lysine-specific demethylase 7),Kdm7a Jhdm1d Kdm7 Kiaa1718,Mus musculus (Mouse),940
Trpv6,Q91WD2,TRPV6_MOUSE,reviewed,Transient receptor potential cation channel subfamily V member 6 (TrpV6) (Calcium transport protein 1) (CaT1) (Epithelial calcium channel 2) (ECaC2),Trpv6,Mus musculus (Mouse),767
Hnrnpa2b1,O88569,ROA2_MOUSE,reviewed,Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1),Hnrnpa2b1 Hnrpa2b1,Mus musculus (Mouse),353
Hoxa7,P02830,HXA7_MOUSE,reviewed,Homeobox protein Hox-A7 (Homeobox protein Hox-1.1) (Homeobox protein M6-12) (M6),Hoxa7 Hox-1.1 Hoxa-7,Mus musculus (Mouse),229
Fam13a,Q8BGI4,FA13A_MOUSE,reviewed,Protein FAM13A (Precm1 protein),Fam13a Fam13a1 Precm1,Mus musculus (Mouse),693
Gadd45a,P48316,GA45A_MOUSE,reviewed,Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1),Gadd45a Ddit1 Gadd45,Mus musculus (Mouse),165
Vamp8,O70404,VAMP8_MOUSE,reviewed,Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (Edb),Vamp8,Mus musculus (Mouse),101
Mat2a,Q3THS6,METK2_MOUSE,reviewed,S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2),Mat2a,Mus musculus (Mouse),395
Tgoln1,Q62313,TGON1_MOUSE,reviewed,Trans-Golgi network integral membrane protein 1 (TGN38A),Tgoln1 Ttgn1,Mus musculus (Mouse),353
Kcmf1,Q80UY2,KCMF1_MOUSE,reviewed,E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (Differentially expressed in branching tubulogenesis 91) (Debt-91) (RING-type E3 ubiquitin transferase KCMF1),Kcmf1 Debt91,Mus musculus (Mouse),381
Tmsb10,Q6ZWY8,TYB10_MOUSE,reviewed,Thymosin beta-10,Tmsb10 Ptmb10,Mus musculus (Mouse),44
Reg3g,O09049,REG3G_MOUSE,reviewed,Regenerating islet-derived protein 3-gamma (REG-3-gamma) (Pancreatitis-associated protein 3) (Regenerating islet-derived protein III-gamma) (Reg III-gamma) [Cleaved into: Regenerating islet-derived protein 3-gamma 16.5 kDa form; Regenerating islet-derived protein 3-gamma 15 kDa form],Reg3g Pap3,Mus musculus (Mouse),174
Hk2,O08528,HXK2_MOUSE,reviewed,Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II),Hk2,Mus musculus (Mouse),917
Tet3,Q8BG87,TET3_MOUSE,reviewed,Methylcytosine dioxygenase TET3 (EC 1.14.11.n2),Tet3,Mus musculus (Mouse),1803
Mxd1,P50538,MAD1_MOUSE,reviewed,Max dimerization protein 1 (Max dimerizer 1) (Protein MAD),Mxd1 Mad Mad1,Mus musculus (Mouse),227
Anxa4,P97429,ANXA4_MOUSE,reviewed,Annexin A4 (Annexin IV) (Annexin-4),Anxa4 Anx4,Mus musculus (Mouse),319
Lrig1,P70193,LRIG1_MOUSE,reviewed,Leucine-rich repeats and immunoglobulin-like domains protein 1 (LIG-1),Lrig1,Mus musculus (Mouse),1091
Adipor2,Q8BQS5,PAQR2_MOUSE,reviewed,Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II),Adipor2 D6Ucla1e Parq2,Mus musculus (Mouse),386
Wnk1,P83741,WNK1_MOUSE,reviewed,Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1),Wnk1 Hsn2 Prkwnk1,Mus musculus (Mouse),2377
Atp6v1e1,P50518,VATE1_MOUSE,reviewed,V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1),Atp6v1e1 Atp6e Atp6e2,Mus musculus (Mouse),226
Apobec1,P51908,ABEC1_MOUSE,reviewed,C->U-editing enzyme APOBEC-1 (EC 3.5.4.36) (Apolipoprotein B mRNA-editing enzyme 1) (mRNA(cytosine(6666)) deaminase 1),Apobec1,Mus musculus (Mouse),229
Tpi1,P17751,TPIS_MOUSE,reviewed,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase),Tpi1 Tpi,Mus musculus (Mouse),299
Gapdh,P16858,G3P_MOUSE,reviewed,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),Gapdh Gapd,Mus musculus (Mouse),333
Tapbpl,Q8VD31,TPSNR_MOUSE,reviewed,Tapasin-related protein (TAPASIN-R) (TAP-binding protein-like) (TAP-binding protein-related protein) (TAPBP-R) (Tapasin-like),Tapbpl,Mus musculus (Mouse),451
Plekhg6,Q8R0J1,PKHG6_MOUSE,reviewed,Pleckstrin homology domain-containing family G member 6 (PH domain-containing family G member 6),Plekhg6,Mus musculus (Mouse),787
Styk1,Q6J9G1,STYK1_MOUSE,reviewed,Tyrosine-protein kinase STYK1 (EC 2.7.10.2) (Novel oncogene with kinase domain) (mNOK) (Serine/threonine/tyrosine kinase 1),Styk1 Nok,Mus musculus (Mouse),429
Eps8,Q08509,EPS8_MOUSE,reviewed,Epidermal growth factor receptor kinase substrate 8,Eps8,Mus musculus (Mouse),821
Kras,P32883,RASK_MOUSE,reviewed,"GTPase KRas (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]",Kras Kras2,Mus musculus (Mouse),189
Ergic2,Q9CR89,ERGI2_MOUSE,reviewed,Endoplasmic reticulum-Golgi intermediate compartment protein 2,Ergic2,Mus musculus (Mouse),377
Myadm,O35682,MYADM_MOUSE,reviewed,Myeloid-associated differentiation marker (Myeloid up-regulated protein),Myadm Mug,Mus musculus (Mouse),320
Ndufa3,Q9CQ91,NDUA3_MOUSE,reviewed,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit),Ndufa3,Mus musculus (Mouse),84
Suv420h2,Q6Q783,KMT5C_MOUSE,reviewed,Histone-lysine N-methyltransferase KMT5C (Lysine-specific methyltransferase 5C) (Suppressor of variegation 4-20 homolog 2) (Su(var)4-20 homolog 2) (Suv4-20h2) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361),Kmt5c Suv420h2,Mus musculus (Mouse),468
Epn1,Q80VP1,EPN1_MOUSE,reviewed,Epsin-1 (EPS-15-interacting protein 1) (Intersectin-EH-binding protein 1) (Ibp1),Epn1,Mus musculus (Mouse),575
Ap2s1,P62743,AP2S1_MOUSE,reviewed,AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma-adaptin 3b) (Sigma2-adaptin),Ap2s1 Ap17 Claps2,Mus musculus (Mouse),142
Strn4,P58404,STRN4_MOUSE,reviewed,Striatin-4 (Zinedin),Strn4 Zin,Mus musculus (Mouse),760
Ceacam20,Q9D2Z1,CEA20_MOUSE,reviewed,Carcinoembryonic antigen-related cell adhesion molecule 20,Ceacam20,Mus musculus (Mouse),577
Nlrp9b,Q66X22,NLR9B_MOUSE,reviewed,"NACHT, LRR and PYD domains-containing protein 9B (NALP-delta)",Nlrp9b Nalp9 Nalp9b,Mus musculus (Mouse),1003
Kcnn4,O89109,KCNN4_MOUSE,reviewed,Intermediate conductance calcium-activated potassium channel protein 4 (SK4) (SKCa 4) (SKCa4) (IK1) (KCa3.1) (KCa4),Kcnn4,Mus musculus (Mouse),425
Ethe1,Q9DCM0,ETHE1_MOUSE,reviewed,"Persulfide dioxygenase ETHE1, mitochondrial (EC 1.13.11.18) (Ethylmalonic encephalopathy protein 1 homolog) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)",Ethe1 Hsco,Mus musculus (Mouse),254
Sertad3,Q9ERC3,SRTD3_MOUSE,reviewed,SERTA domain-containing protein 3 (Replication protein-binding trans-activator) (RPA-binding trans-activator),Sertad3 Rbt1,Mus musculus (Mouse),197
Sertad1,Q9JL10,SRTD1_MOUSE,reviewed,SERTA domain-containing protein 1 (CDK4-binding protein p34SEI1) (SEI-1) (Transcriptional regulator interacting with the PHD-bromodomain 1) (TRIP-Br1),Sertad1 Sei1,Mus musculus (Mouse),236
Dyrk1b,Q9Z188,DYR1B_MOUSE,reviewed,Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1),Dyrk1b,Mus musculus (Mouse),629
Sycn,Q8VCK7,SYCN_MOUSE,reviewed,Syncollin,Sycn,Mus musculus (Mouse),134
Hnrnpl,Q8R081,HNRPL_MOUSE,reviewed,Heterogeneous nuclear ribonucleoprotein L (hnRNP L),Hnrnpl Hnrpl,Mus musculus (Mouse),586
Ech1,O35459,ECH1_MOUSE,reviewed,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)",Ech1,Mus musculus (Mouse),327
Lgals4,Q8K419,LEG4_MOUSE,reviewed,Galectin-4 (Gal-4) (Lactose-binding lectin 4),Lgals4,Mus musculus (Mouse),326
Cebpa,P53566,CEBPA_MOUSE,reviewed,CCAAT/enhancer-binding protein alpha (C/EBP alpha),Cebpa Cebp,Mus musculus (Mouse),359
Rhpn2,Q8BWR8,RHPN2_MOUSE,reviewed,Rhophilin-2 (GTP-Rho-binding protein 2),Rhpn2,Mus musculus (Mouse),686
Ankrd27,Q3UMR0,ANR27_MOUSE,reviewed,Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein) (VPS9-ankyrin-repeat protein),Ankrd27 Varp,Mus musculus (Mouse),1048
Cldnd2,Q9D9H2,CLDN2_MOUSE,reviewed,Claudin domain-containing protein 2,Cldnd2,Mus musculus (Mouse),167
Klk1,P00755,K1KB1_MOUSE,reviewed,Kallikrein 1-related peptidase b1 (EC 3.4.21.35) (Glandular kallikrein K1) (mGK-1) (Tissue kallikrein-1),Klk1b1 Klk-1 Klk1,Mus musculus (Mouse),261
Klk1,P15947,KLK1_MOUSE,reviewed,Kallikrein-1 (EC 3.4.21.35) (Glandular kallikrein K1) (KAL-B) (Renal kallikrein) (Tissue kallikrein-6) (mGK-6),Klk1 Klk-6 Klk6,Mus musculus (Mouse),261
Vrk3,Q8K3G5,VRK3_MOUSE,reviewed,Inactive serine/threonine-protein kinase VRK3 (Serine/threonine-protein pseudokinase VRK3) (Vaccinia-related kinase 3),Vrk3,Mus musculus (Mouse),453
Rpl18,P35980,RL18_MOUSE,reviewed,60S ribosomal protein L18,Rpl18,Mus musculus (Mouse),188
Fam83e,Q80XS7,FA83E_MOUSE,reviewed,Protein FAM83E,Fam83e,Mus musculus (Mouse),481
Ldha,P06151,LDHA_MOUSE,reviewed,L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M),Ldha Ldh-1 Ldh1,Mus musculus (Mouse),332
Zdhhc13,Q9CWU2,ZDH13_MOUSE,reviewed,Palmitoyltransferase ZDHHC13 (EC 2.3.1.225) (Huntingtin-interacting protein 14-related protein) (HIP14-related protein) (Zinc finger DHHC domain-containing protein 13) (DHHC-13),Zdhhc13 Hip14l,Mus musculus (Mouse),622
Cyfip1,Q7TMB8,CYFP1_MOUSE,reviewed,Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1),Cyfip1 Kiaa0068 Shyc Sra1,Mus musculus (Mouse),1253
Ube3a,O08759,UBE3A_MOUSE,reviewed,Ubiquitin-protein ligase E3A (EC 2.3.2.26) (HECT-type ubiquitin transferase E3A) (Oncogenic protein-associated protein E6-AP),Ube3a,Mus musculus (Mouse),870
Akap13,E9Q394,AKP13_MOUSE,reviewed,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc),Akap13 Brx,Mus musculus (Mouse),2776
Abhd2,Q9QXM0,ABHD2_MOUSE,reviewed,Monoacylglycerol lipase ABHD2 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 2) (Acetylesterase) (EC 3.1.1.6) (Lung alpha/beta hydrolase 2) (MmLABH2) (Triacylglycerol lipase) (EC 3.1.1.79),Abhd2 Labh-2 Labh2,Mus musculus (Mouse),425
Sema4b,Q62179,SEM4B_MOUSE,reviewed,Semaphorin-4B (Semaphorin-C) (Sema C),Sema4b Kiaa1745 Semac SemC,Mus musculus (Mouse),823
Efl1,Q8C0D5,EFL1_MOUSE,reviewed,Elongation factor-like GTPase 1 (Elongation factor Tu GTP-binding domain-containing protein 1) (Elongation factor-like 1) (Protein FAM42A),Efl1 Eftud1,Mus musculus (Mouse),1127
Picalm,Q7M6Y3,PICAL_MOUSE,reviewed,Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia) (CALM),Picalm Calm Fit1,Mus musculus (Mouse),660
Sytl2,Q99N50,SYTL2_MOUSE,reviewed,Synaptotagmin-like protein 2 (Exophilin-4),Sytl2 Slp2,Mus musculus (Mouse),950
Ucp2,P70406,UCP2_MOUSE,reviewed,Mitochondrial uncoupling protein 2 (UCP 2) (Solute carrier family 25 member 8) (UCPH),Ucp2 Slc25a8,Mus musculus (Mouse),309
